name,Category,mrp,selling_price,offer_percentage,delivery_time(MIN),quantity,scrape_date,scrape_time,location,Delivery_Charges(Handelling+Delivery),Period,Climate,Surge_charges,Platform,mrp_range,sp_range,Stock
Heritage Fresh Paneer,Paneer,115,101.0,12,13,200 g,2026-03-03,12:56:15,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,101-200,101-200,true
Heritage Nourish+ High Protein Paneer,Paneer,150,125.0,16,13,240 g,2026-03-03,12:56:29,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,101-200,101-200,true
Heritage Daily Health Toned Milk,Milk,32,32.0,0,13,500 ml,2026-03-03,12:56:44,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Heritage Full Cream Milk,Milk,42,42.0,0,13,500 ml,2026-03-03,12:56:59,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Arokya Full Cream Milk,Milk,42,42.0,0,13,500 ml,2026-03-03,12:57:15,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Heritage Sampurna A2 Buffalo Fresh Milk,Milk,50,46.0,8,13,500 ml,2026-03-03,12:57:29,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Amul Taaza Toned Milk,Milk,16,16.0,0,14,200 ml,2026-03-03,12:57:45,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Sids Farm Cow Milk,Milk,0,0.0,0,0,0.0,2026-03-03,12:58:00,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
Amul Moti Toned Milk (90 Days Shelf Life),Milk,29,29.0,0,13,450 ml,2026-03-03,12:58:16,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Amul Buffalo A2 Milk,Milk,40,40.0,0,13,500 ml,2026-03-03,12:58:31,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Amul Taaza Homogenised Toned Milk,Milk,75,75.0,0,13,1 ltr,2026-03-03,12:58:51,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,51-100,51-100,true
Amul Fresh Malai Paneer,Paneer,94,94.0,0,13,200 g,2026-03-03,12:59:10,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,51-100,51-100,true
FreshtoHome Chicken - Skinless Curry Cut,Chicken,0,0.0,0,0,0.0,2026-03-03,12:59:25,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
